Strain,Sex,Replicate,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5
P2,Male,1,0.2,0.344262295,0.556122449,0.916666667,0.855
P2,Male,2,0.2,0.407079646,0.628712871,0.914141414,0.767326733
P2,Male,3,0.355,0.247191011,0.613445378,0.940860215,0.578199052
P2,Female,1,0.194444444,0.420560748,0.612565445,0.791666667,0.665
P2,Female,2,0.222222222,0.446808511,0.573684211,0.849740933,0.641791045
P2,Female,3,0.222222222,0.439252336,0.563829787,0.851282051,0.708542714
P1,Male,1,0.33,0.076923077,0.017857143,0.370892019,0.311881188
P1,Male,2,0.275,0.033057851,0.076595745,0.433035714,0.195
P1,Male,3,0.22,0.084507042,0,0.367256637,0.147783251
P1,Female,1,0.388888889,0.123076923,0.03960396,0.405286344,0.153061224
P1,Female,2,0.266666667,0.05,0.135869565,0.446927374,0.065989848
P1,Female,3,0.183333333,0.315068493,0.042944785,0.454545455,0.186528497
