,males,females
P1,0.017857143,0.03960396
P1,0.076595745,0.135869565
P1,0,0.042944785
P2,0.556122449,0.612565445
P2,0.628712871,0.573684211
P2,0.613445378,0.563829787
F1,0.849315068,0.733990148
F1,0.938679245,0.908629442
F1,0.960159363,0.923728814
rF1,0.969543147,0.75257732
rF1,0.946341463,0.830769231
rF1,0.969387755,0.81
BC1,0.627659574,0.497435897
BC1,0.505555556,0.505
BC1,0.609375,0.609625668
BC2,0.72815534,0.706185567
BC2,0.714285714,0.666666667
BC2,0.601156069,0.6
rBC1,0.8,0.776119403
rBC1,0.85,0.529069767
rBC1,0.738461538,0.680203046
rBC2,0.735099338,0.707692308
rBC2,0.62295082,0.702020202
