"","crosses","M","Aa","Ad","Xa","Xd","Ya","Ca","Mea","Med","AaAa","AaAd","AaXa","AaXd","AaYa","AaCa","AdAd","AdXa","AdXd","AdYa","AdCa","XaXa","XaXd","XaYa","XaCa","XdXd","XdYa","XdCa","YaCa"
"1","P1",1,1,0,1,0,0.5,1,1,0,1,0,1,0,0.5,1,0,0,0,0,0,1,0,0.5,1,0,0,0,0.5
"2","P2",1,-1,0,-1,0,-0.5,-1,-1,0,1,0,1,0,0.5,1,0,0,0,0,0,1,0,0.5,1,0,0,0,0.5
"3","F1",1,0,1,0.5,0.5,-0.5,1,1,0,0,0,0,0,0,0,1,0.5,0.5,-0.5,1,0.25,0.25,-0.25,0.5,0.25,-0.25,0.5,-0.5
"4","rF1",1,0,1,-0.5,0.5,0.5,-1,-1,0,0,0,0,0,0,0,1,-0.5,0.5,0.5,-1,0.25,-0.25,-0.25,0.5,0.25,0.25,-0.5,-0.5
"5","BC1",1,0.5,0.5,0.25,0.25,0.5,1,0,1,0.25,0.25,0.125,0.125,0.25,0.5,0.25,0.125,0.125,0.25,0.5,0.0625,0.0625,0.125,0.25,0.0625,0.125,0.25,0.5
"6","BC2",1,-0.5,0.5,-0.5,0.5,-0.5,-1,-1,0,0.25,-0.25,0.25,-0.25,0.25,0.5,0.25,-0.25,0.25,-0.25,-0.5,0.25,-0.25,0.25,0.5,0.25,-0.25,-0.5,0.5
"7","rBC1",1,0.5,0.5,0.5,0.5,0.5,1,1,0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5
"8","rBC2",1,-0.5,0.5,-0.25,0.25,-0.5,-1,0,1,0.25,-0.25,0.125,-0.125,0.25,0.5,0.25,-0.125,0.125,-0.25,-0.5,0.0625,-0.0625,0.125,0.25,0.0625,-0.125,-0.25,0.5
