,best,avgd,obsvd,perc.p2
P1,0.0564,0.071,0.05725971,0
P2,0.595,0.611,0.59253112,100
F1,0.88465,0.7815,0.8892261,50
rF1,0.88465,0.7815,0.88037068,50
BC1,0.57015,0.532625,0.558669,25
BC2,0.67865,0.617,0.67095116,75
rBC1,0.73085,0.6695,0.73362069,25
rBC2,0.6787,0.641375,0.69199595,75
